worker_id,year,month,platform,monthly_income,workdays,n_platforms_active,is_holiday_season,pattern,job,work_type
1,2024,6,대리주부,1382000,15,3,0,regular,care_cleaning,primary
1,2024,7,대리주부,1807000,17,3,0,regular,care_cleaning,primary
1,2024,8,대리주부,1403000,15,3,0,regular,care_cleaning,primary
1,2024,9,대리주부,1761000,17,3,1,regular,care_cleaning,primary
1,2024,10,대리주부,1636000,19,3,0,regular,care_cleaning,primary
1,2024,11,대리주부,1546000,18,3,0,regular,care_cleaning,primary
1,2024,12,대리주부,1727000,19,3,1,regular,care_cleaning,primary
1,2025,1,대리주부,1313000,13,3,1,regular,care_cleaning,primary
1,2025,2,대리주부,1741000,18,3,1,regular,care_cleaning,primary
1,2025,3,대리주부,1797000,20,3,0,regular,care_cleaning,primary
1,2025,4,대리주부,1854000,19,3,0,regular,care_cleaning,primary
1,2025,5,대리주부,2106000,21,3,0,regular,care_cleaning,primary
1,2025,6,대리주부,1689000,18,3,0,regular,care_cleaning,primary
1,2025,7,대리주부,1777000,18,3,0,regular,care_cleaning,primary
1,2025,8,대리주부,1750000,21,3,0,regular,care_cleaning,primary
1,2025,9,대리주부,1677000,17,3,1,regular,care_cleaning,primary
1,2025,10,대리주부,1856000,22,3,0,regular,care_cleaning,primary
1,2025,11,대리주부,1498000,18,3,0,regular,care_cleaning,primary
1,2025,12,대리주부,2272000,21,3,1,regular,care_cleaning,primary
1,2026,1,대리주부,1564000,17,3,1,regular,care_cleaning,primary
1,2026,2,대리주부,1752000,23,3,1,regular,care_cleaning,primary
1,2026,3,대리주부,1793000,22,3,0,regular,care_cleaning,primary
1,2026,4,대리주부,1461000,16,3,0,regular,care_cleaning,primary
1,2026,5,대리주부,1679000,22,3,0,regular,care_cleaning,primary
2,2024,6,요기요,1705000,16,2,0,regular,delivery_transport,primary
2,2024,7,요기요,2116000,24,2,0,regular,delivery_transport,primary
2,2024,8,요기요,2008000,19,2,0,regular,delivery_transport,primary
2,2024,9,요기요,2009000,19,2,1,regular,delivery_transport,primary
2,2024,10,요기요,1434000,14,2,0,regular,delivery_transport,primary
2,2024,11,요기요,2490000,23,2,0,regular,delivery_transport,primary
2,2024,12,요기요,2021000,22,2,1,regular,delivery_transport,primary
2,2025,1,요기요,2116000,24,2,1,regular,delivery_transport,primary
2,2025,2,요기요,1629000,15,2,1,regular,delivery_transport,primary
2,2025,3,요기요,1734000,20,2,0,regular,delivery_transport,primary
2,2025,4,요기요,1711000,18,2,0,regular,delivery_transport,primary
