worker_id,pattern,primary_platform,platforms,n_platforms,avg_workdays,base_monthly_income,gender,age_band,job,job_ko,work_type,submode,intended_pattern,home_industry_code,annual_revenue_y1,annual_revenue_y2,avg_annual_revenue,is_target_segment,split
1,regular,대리주부,대리주부;당근알바;청소연구소,3,20,1681420,male,20s,care_cleaning,가사·청소·돌봄,primary,,seasonal,940502,20072931,20769404,20421168,0,train
2,regular,요기요,요기요;생각대로,2,21,1840568,male,40s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,22986449,26563198,24774824,1,train
3,irregular,생각대로,생각대로,1,23,2551252,male,20s,delivery_transport,운송·배달·대리,primary,delivery,irregular,940918,32870178,39007356,35938767,0,valid
4,seasonal,카카오모빌리티,카카오모빌리티,1,21,1865301,female,30s,delivery_transport,운송·배달·대리,primary,proxy,seasonal,940920,24091486,21585231,22838358,0,train
5,regular,쿠팡이츠,쿠팡이츠;요기요;생각대로,3,23,2602309,male,50s,delivery_transport,운송·배달·대리,primary,delivery,regular,940918,30795587,29409289,30102438,1,valid
6,regular,생각대로,생각대로,1,10,1045000,male,50s,delivery_transport,운송·배달·대리,occasional,delivery,seasonal,940918,13067450,14052804,13560127,0,train
7,irregular,크몽,크몽,1,22,2052144,female,20s,professional,전문서비스,primary,,irregular,940911,19030059,40350165,29690112,0,valid
8,irregular,크라우드웍스,크라우드웍스,1,23,1949734,male,30s,simple_computer,컴퓨터 단순작업,primary,,irregular,940911,18777354,9516742,14147048,0,train
9,regular,크몽,크몽;숨고,2,24,3251897,male,30s,professional,전문서비스,primary,,seasonal,940911,39479567,38909078,39194322,1,train
10,regular,당근알바,당근알바;쿠팡홈서비스,2,12,602802,male,50s,etc,기타,occasional,,regular,940502,7494546,8052494,7773520,0,train
11,irregular,카카오모빌리티,카카오모빌리티,1,26,3888865,male,20s,delivery_transport,운송·배달·대리,primary,proxy,irregular,940920,48740655,59468605,54104630,0,train
12,seasonal,배달의민족,배달의민족,1,24,3415868,female,50s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,41655175,43477580,42566378,0,train
13,regular,쿠팡플렉스,쿠팡플렉스,1,7,697480,male,50s,delivery_transport,운송·배달·대리,occasional,delivery,regular,940917,8122486,7897937,8010212,0,train
